NDB_No,Shrt_Desc,Main food description,Food code,FoodCategory
03109,"BABYFOOD,VEG,SWT POTATOES,JR","Sweet potatoes, baby food, junior",76209020,Vegetables
03112,"BABYFOOD,POTATOES,TODDLER","Potatoes, baby food, toddler",76420000,Vegetables
03114,"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN","Squash and corn, baby food, strained",76205030,Vegetables
03115,"BABYFOOD,APPLS,DICES,TODD","Apples, baby food, toddler",67100300,Fruits
03116,"BABYFOOD,FRUIT,APPLSAUC,STR","Fruit, baby food, NFS",67100100,Fruits
03116,"BABYFOOD,FRUIT,APPLSAUC,STR","Applesauce, baby food, strained",67102010,Fruits
03117,"BABYFOOD,FRUIT,APPLSAUC,JR","Applesauce, baby food, junior",67102020,Fruits
03118,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR","Apricots, baby food, strained",67307010,Fruits
03119,"BABYFOOD,VEG,CORN,CRMD,STR","Corn, creamed, baby food, strained",76405010,Vegetables
03120,"BABYFOOD,VEG,CORN,CRMD,JR","Corn, creamed, baby food, junior",76405020,Vegetables
03121,"BABYFOOD,VEG,PEAS,STR","Peas, baby food, NS as to strained or junior",76409000,Vegetables
03121,"BABYFOOD,VEG,PEAS,STR","Peas, baby food, strained",76409010,Vegetables
03121,"BABYFOOD,VEG,PEAS,STR","Peas, baby food, junior",76409020,Vegetables
03122,"BABYFOOD,PEAS,DICES,TODD","Peas, baby food, toddler",76409030,Vegetables
03127,"BABYFOOD,VEG,SPINACH,CRMD,STR","Spinach, creamed, baby food, strained",76102010,Vegetables
03128,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR","Apricots, baby food, junior",67307020,Fruits
03130,"BABYFOOD,FRUIT,PEACHES,STR","Peaches, baby food, strained",67108010,Fruits
03131,"BABYFOOD,FRUIT,PEACHES,JR","Peaches, baby food, junior",67108020,Fruits
03132,"BABYFOOD,FRUIT,PEARS,STR","Pears, baby food, strained",67109010,Fruits
03133,"BABYFOOD,FRUIT,PEARS,JR","Pears, baby food, junior",67109020,Fruits
03134,"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR","Plums, baby food, strained",67304010,Fruits
03135,"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR","Plums, baby food, junior",67304020,Fruits
03136,"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR","Prunes with oatmeal, baby food, strained",67304500,Fruits
03139,"BABYFOOD,PRUNES,WO/VIT C,STR","Prunes, baby food, strained",67110000,Fruits
03140,"BABYFOOD,FRUIT DSSRT,MANGO W/ TAPIOCA","Mango dessert, baby food",67414100,Fruits
03141,"BABYFOOD,PEARS,DICES,TODD","Pears, baby food, toddler",67109030,Fruits
03142,"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR","Applesauce and apricots, baby food, strained",67104010,Fruits
03143,"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR","Applesauce and apricots, baby food, junior",67104020,Fruits
03144,"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR","Applesauce with cherries, baby food, strained",67104070,Fruits
03145,"BABYFOOD,FRUIT,APPLSAUC & CHERRIES,JR","Applesauce with cherries, baby food, junior",67104080,Fruits
03147,"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR","Applesauce with bananas, baby food, NS as to strained or junior",67104030,Fruits
03147,"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR","Applesauce with bananas, baby food, strained",67104040,Fruits
03147,"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR","Applesauce with bananas, baby food, junior",67104060,Fruits
