str,Resource
"Salad dressing, italian dressing, commercial",http://idea.rpi.edu/heals/kb/usda#04021
"Salad dressing, russian dressing, low calorie",http://idea.rpi.edu/heals/kb/usda#04022
"Salad dressing, thousand island dressing, reduced fat",http://idea.rpi.edu/heals/kb/usda#04023
"Salad dressing, mayonnaise, regular",http://idea.rpi.edu/heals/kb/usda#04025
"Salad dressing, mayonnaise, soybean and safflower oil",http://idea.rpi.edu/heals/kb/usda#04026
"Salad dressing, mayonnaise, imitation",http://idea.rpi.edu/heals/kb/usda#04027
"Sandwich spread, with chopped pickle, regular",http://idea.rpi.edu/heals/kb/usda#04030
"Shortening, household, soybean -cottonseed ",http://idea.rpi.edu/heals/kb/usda#04031
"Oil, soybean, salad or cooking",http://idea.rpi.edu/heals/kb/usda#04034
"Oil, rice bran",http://idea.rpi.edu/heals/kb/usda#04037
"Oil, wheat germ",http://idea.rpi.edu/heals/kb/usda#04038
"Oil, peanut, salad or cooking",http://idea.rpi.edu/heals/kb/usda#04042
"Oil, coconut",http://idea.rpi.edu/heals/kb/usda#04047
"Oil, olive, salad or cooking",http://idea.rpi.edu/heals/kb/usda#04053
"Oil, palm",http://idea.rpi.edu/heals/kb/usda#04055
"Oil, sesame, salad or cooking",http://idea.rpi.edu/heals/kb/usda#04058
"Oil, sunflower, linoleic ",http://idea.rpi.edu/heals/kb/usda#04060
"Margarine, regular, hard",http://idea.rpi.edu/heals/kb/usda#04073
"Salad dressing, french dressing, commercial",http://idea.rpi.edu/heals/kb/usda#04120
"Margarine,spread, 35-39% fat",http://idea.rpi.edu/heals/kb/usda#04128
"Salad dressing, french, home recipe",http://idea.rpi.edu/heals/kb/usda#04133
"Salad dressing, home recipe, vinegar and oil",http://idea.rpi.edu/heals/kb/usda#04135
"Salad dressing, italian dressing, reduced fat",http://idea.rpi.edu/heals/kb/usda#04144
"Salad dressing, mayonnaise, soybean oil",http://idea.rpi.edu/heals/kb/usda#04145
"Salad dressing, french, cottonseed",http://idea.rpi.edu/heals/kb/usda#04146
