,food_id,food_name,food_group,food_subgroup,source_name,nutri_score,nutri_score_category,hasQuality
182,441,Colorado pinyon,Nuts,Nuts,Fat,8,C,"['high_potassium', 'high_vitaminB1', 'high_vitaminB5']"
183,442,Pitanga,Fruits,Tropical fruits,Fat,0,B,[]
184,445,American pokeweed,Vegetables,Shoot vegetables,Fat,-2,A,"['high_vitaminK1', 'high_vitaminB5']"
185,447,Opium poppy,Herbs and Spices,Spices,Fat,7,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
186,448,Prairie turnip,Vegetables,Root vegetables,Fat,1,B,['high_vitaminB6']
187,455,Malabar plum,Fruits,Tropical fruits,Fat,1,B,[]
188,457,Roselle,Herbs and Spices,Herbs,Fat,0,B,"['high_vitaminEAlpha', 'high_vitaminEGamma']"
189,467,Common salsify,Vegetables,Root vegetables,Fat,-1,A,['high_vitaminB5']
190,468,Sapodilla,Fruits,Tropical fruits,Fat,0,B,['high_vitaminB5']
191,488,Soursop,Fruits,Tropical fruits,Fat,0,B,['high_vitaminB5']
192,493,Strawberry guava,Fruits,Berries,Fat,-3,A,[]
193,496,Sugar apple,Fruits,Tropical fruits,Fat,0,B,['high_vitaminB5']
194,499,Taro,Vegetables,Root vegetables,Fat,6,C,['high_vitaminB5']
195,502,Mexican groundcherry,Vegetables,Fruit vegetables,Fat,0,B,['high_vitaminB5']
196,503,Towel gourd,Gourds,Gourds,Fat,-1,A,['high_vitaminB5']
197,510,Wax gourd,Gourds,Gourds,Fat,-2,A,['high_vitaminB5']
198,518,Winged bean,Pulses,Beans,Fat,-4,A,"['high_vitaminB5', 'high_vitaminB11']"
199,519,Yam,Vegetables,Tubers,Fat,1,B,"['high_potassium', 'high_vitaminB5']"
200,520,Jicama,Vegetables,Root vegetables,Fat,-5,A,['high_vitaminB5']
201,521,Yautia,Vegetables,Leaf vegetables,Fat,4,C,['high_vitaminB5']
202,536,Macadamia nut,Nuts,Nuts,Fat,10,C,"['high_vitaminB1', 'high_vitaminB5']"
203,553,Yardlong bean,Pulses,Peas,Fat,-6,A,"['high_vitaminB5', 'high_vitaminB11']"
204,558,Feijoa,Fruits,Tropical fruits,Fat,-4,A,['high_vitaminB5']
205,802,Ucuhuba,Herbs and Spices,Oilseed crops,Fat,0,B,[]
206,813,Nance,Fruits,Tropical fruits,Fat,0,B,['high_vitaminB5']
207,880,Soft-necked garlic,Herbs and Spices,Herbs,Fat,-5,A,"['high_potassium', 'high_calcium', 'high_iron', 'high_vitaminB8']"
208,881,Cabbage,Vegetables,Cabbages,Fat,-3,A,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
209,2,Savoy cabbage,Vegetables,Cabbages,Proteins,-4,A,"['high_vitaminB5', 'high_vitaminB11']"
211,5,Allium,Vegetables,Onion-family vegetables,Proteins,0,B,"['high_vitaminB1', 'high_vitaminB5', 'high_vitaminB8']"
213,7,Leek,Vegetables,Onion-family vegetables,Proteins,-3,A,"['high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
214,8,Garlic,Herbs and Spices,Herbs,Proteins,4,C,"['high_potassium', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
230,25,Common beet,Vegetables,Leaf vegetables,Proteins,-2,A,"['high_vitaminB5', 'high_vitaminB11']"
233,28,Swede,Vegetables,Root vegetables,Proteins,-3,A,"['high_vitaminB5', 'high_vitaminB8']"
234,30,Common cabbage,Vegetables,Cabbages,Proteins,4,C,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
235,31,Cauliflower,Vegetables,Cabbages,Proteins,-3,A,"['high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
238,34,Broccoli,Vegetables,Cabbages,Proteins,-4,A,"['high_vitaminC', 'high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8', 'high_vitaminB11']"
239,35,Chinese cabbage,Vegetables,Cabbages,Proteins,-1,A,"['high_vitaminEGamma', 'high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
240,36,Turnip,Herbs and Spices,Herbs,Proteins,-2,A,"['high_vitaminB5', 'high_vitaminB8']"
248,44,Pecan nut,Nuts,Nuts,Proteins,8,C,"['high_phosphorus', 'high_vitaminEGamma', 'high_vitaminB1', 'high_vitaminB5']"
249,45,Chestnut,Nuts,Nuts,Proteins,4,C,"['high_vitaminB5', 'high_vitaminB8']"
259,55,Pummelo,Fruits,Citrus,Proteins,0,B,[]
262,58,Coffee,Coffee and coffee products,Coffee,Proteins,8,C,"['high_potassium', 'high_vitaminB3', 'high_vitaminB5']"
274,71,Globe artichoke,Vegetables,Shoot vegetables,Proteins,-7,A,"['high_vitaminB5', 'high_vitaminB11']"
275,245,Carrot,Vegetables,Root vegetables,Proteins,1,B,"['high_vitaminB5', 'high_vitaminB8']"
277,73,Japanese persimmon,Fruits,Tropical fruits,Proteins,0,B,[]
280,77,Rocket salad (ssp.),Vegetables,Leaf vegetables,Proteins,-2,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
284,83,Strawberry,Fruits,Berries,Proteins,11,D,"['high_vitaminB5', 'high_vitaminB8']"
294,97,Sweet bay,Herbs and Spices,Herbs,Proteins,12,D,"['high_calcium', 'high_iron', 'high_vitaminB2', 'high_vitaminB6', 'high_vitaminB11']"
299,103,Lichee,Fruits,Tropical fruits,Proteins,2,B,[]
306,117,Black mulberry,Fruits,Berries,Proteins,0,B,[]
314,126,Millet,Cereals and cereal products,Cereals,Proteins,10,C,"['high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB6']"
315,127,Poppy,Herbs and Spices,Oilseed crops,Proteins,6,C,"['high_potassium', 'high_calcium', 'high_iron', 'high_phosphorus', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB6']"
325,138,Pine nut,Nuts,Nuts,Proteins,11,D,"['high_iron', 'high_phosphorus', 'high_vitaminEAlpha', 'high_vitaminEGamma', 'high_vitaminK1', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5']"
330,143,"Prunus (Cherry, Plum)",Fruits,Drupes,Proteins,11,D,"['high_vitaminB5', 'high_vitaminB8']"
332,145,Sweet cherry,Fruits,Drupes,Proteins,1,B,['high_vitaminB5']
347,160,"Rubus (Blackberry, Raspberry)",Fruits,Berries,Proteins,0,B,"['high_vitaminEAlpha', 'high_vitaminB5', 'high_vitaminB8']"
348,161,Cloudberry,Fruits,Berries,Proteins,-1,A,['high_potassium']
356,171,Garden tomato,Vegetables,Fruit vegetables,Proteins,-2,A,"['high_potassium', 'high_vitaminB5', 'high_vitaminB8']"
360,177,Sorghum,Cereals and cereal products,Cereals,Proteins,7,C,"['high_iron', 'high_phosphorus', 'high_vitaminB5']"
370,188,"Vaccinium (Blueberry, Cranberry, Huckleberry)",Fruits,Berries,Proteins,1,B,['high_vitaminB5']
374,194,Lingonberry,Fruits,Berries,Proteins,6,C,"['high_vitaminB5', 'high_vitaminB8']"
375,195,Vanilla,Herbs and Spices,Spices,Proteins,0,B,['high_vitaminB5']
380,202,Cowpea,Pulses,Peas,Proteins,-4,A,"['high_vitaminK1', 'high_vitaminB5']"
381,203,Muscadine grape,Fruits,Berries,Proteins,-2,A,[]
385,208,Banana,Fruits,Tropical fruits,Proteins,3,C,"['high_vitaminB5', 'high_vitaminB8']"
386,214,Celeriac,Vegetables,Root vegetables,Proteins,-5,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB8']"
387,224,Longan,Fruits,Tropical fruits,Proteins,2,B,[]
388,229,Nectarine,Fruits,Drupes,Proteins,0,B,['high_vitaminB5']
389,234,Rambutan,Fruits,Tropical fruits,Proteins,5,C,['high_vitaminB5']
390,237,Swiss chard,Vegetables,Leaf vegetables,Proteins,0,B,"['high_vitaminK1', 'high_vitaminB5']"
391,241,Welsh onion,Herbs and Spices,Herbs,Proteins,-3,A,"['high_vitaminK1', 'high_vitaminB5']"
392,242,Hard wheat,Cereals and cereal products,Cereals,Proteins,-5,A,"['high_phosphorus', 'high_vitaminB1', 'high_vitaminB3', 'high_vitaminB5']"
393,243,Shallot,Vegetables,Onion-family vegetables,Proteins,4,C,"['high_potassium', 'high_iron', 'high_phosphorus', 'high_vitaminB5', 'high_vitaminB6', 'high_vitaminB11']"
394,246,Triticale,Cereals and cereal products,Cereals,Proteins,6,C,"['high_phosphorus', 'high_vitaminB1', 'high_vitaminB5', 'high_vitaminB11']"
395,247,Black cabbage,Vegetables,Cabbages,Proteins,-4,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
396,249,Celery leaves,Herbs and Spices,Herbs,Proteins,-5,A,['high_calcium']
397,252,Pak choy,Vegetables,Cabbages,Proteins,-1,A,"['high_vitaminK1', 'high_vitaminB5', 'high_vitaminB11']"
